,Mej,Rcsm,kappa,Mcsm,beta,delta,s,tau,bt,Lpeak,tpeak,max_ind,trise,tfall
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m3.0e+00_r3.0e+13_k2.0e-01_a1.7e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,3,3E+13,0.2,0.0051,0.01,0.1,0,1625.832656,16.25832656,6.12E+43,0.303727531,44,0.055079496,0.125060985
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-01_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.5,0.01,0.1,0,14345.58226,143.4558226,1.26E+44,2.268864323,51,0.148691129,0.307119547
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-01_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.5,0.03,0.1,0,14345.58226,430.3674677,1.03E+45,1.037999738,93,0.055796677,0.233903303
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-01_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.5,0.05,0.1,0,14345.58226,717.2791129,2.29E+45,0.784791871,169,0.034411352,0.324145685
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.05,0.01,0.1,0,1434.558226,14.34558226,7.33E+43,1.411603257,58,0.317743696,0.863998885
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.05,0.03,0.1,0,1434.558226,43.03674677,1.10E+45,0.74402894,87,0.078054041,0.330649972
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-02_b3.3e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.05,0.033,0.1,0,1434.558226,47.34042145,1.34E+45,0.715342214,94,0.071308062,0.313055165
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.05,0.05,0.1,0,1434.558226,71.72791129,2.99E+45,0.617794205,140,0.055637959,0.256404188
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.005,0.1,0.1,0,143.4558226,14.34558226,9.65E+45,0.450732895,348,0.032422169,0.176248306
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.005,0.01,0.1,0,143.4558226,1.434558226,2.60E+43,0.874081498,39,0.280616789,0.441096096
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.005,0.03,0.1,0,143.4558226,4.303674677,5.54E+44,0.560892104,65,0.090628432,0.226528686
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a1.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.005,0.05,0.1,0,143.4558226,7.172791129,2.01E+45,0.502007058,88,0.052435969,0.201176458
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.1,0.01,0.1,0,2869.116451,28.69116451,9.37E+43,1.632852573,63,0.278013816,0.801602365
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.1,0.03,0.1,0,2869.116451,86.07349354,1.10E+45,0.81798017,95,0.073043925,0.331745829
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.1,0.05,0.1,0,2869.116451,143.4558226,2.81E+45,0.660409878,161,0.048813302,0.273576611
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.01,0.1,0.1,0,286.9116451,28.69116451,1.13E+46,0.46968697,287,0.037556372,0.201213044
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.01,0.01,0.1,0,286.9116451,2.869116451,3.55E+43,0.989749967,44,0.313595744,0.564444419
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.01,0.03,0.1,0,286.9116451,8.607349354,7.78E+44,0.616865492,69,0.098278993,0.248619441
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r1.0e+14_k2.0e-01_a2.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,1E+14,0.2,0.01,0.05,0.1,0,286.9116451,14.34558226,2.84E+45,0.530727865,97,0.058103492,0.21044524
