Wavelength (nm),u',Wavelength (nm),g',Wavelength (nm),r',Wavelength (nm),i',Wavelength (nm),z_s,Wavelength (nm),Y,Wavelength (nm),z'
300,0.000193156,300,0.000205646,300,7.25E-06,300,0.024426688,300,0.002805075,300,7.01E-05,685.4799805,-0.023120519
301,0.000204664,301,0.000165044,301,-3.55E-05,301,0.021054501,301,0.002164316,301,0.000174075,685.2999878,-0.023490965
302,1.51E-05,302,-0.000107117,302,0.000175418,302,0.020234706,302,0.005001212,302,1.15E-05,685.1199951,-0.023148434
303,0.000331756,303,0.000118319,303,0.000385299,303,0.023264587,303,0.014132695,303,-1.43E-05,684.9400024,-0.023280071
304,0.000448127,304,0.000128884,304,0.000125507,304,0.002567526,304,0.009553441,304,4.90E-05,684.7600098,-0.023234505
305,0.000113906,305,-0.00024233,305,1.03E-05,305,-0.000112721,305,0.007121941,305,-0.000110224,684.5800171,-0.023260918
306,0.000448758,306,6.12E-05,306,0.000174972,306,0.000217801,306,0.01423248,306,0.000107459,684.4000244,-0.023403434
307,0.00199749,307,9.73E-05,307,0.000326907,307,0.000166167,307,0.030484706,307,-0.000100207,684.2200317,-0.022699228
308,0.002612338,308,-0.000214582,308,0.000163742,308,-2.62E-05,308,0.010430933,308,-0.000140965,684.039978,-0.023396542
309,0.01735987,309,0.00010221,309,3.22E-05,309,0.000745121,309,0.005665784,309,4.58E-05,683.8599854,-0.022820612
310,0.020326748,310,1.18E-05,310,-0.000122406,310,0.00153577,310,0.015873726,310,6.38E-05,683.6799927,-0.023429042
311,0.008963722,311,-0.000149411,311,-3.71E-06,311,2.84E-05,311,0.011775335,311,-0.000207284,683.5,-0.023290599
312,0.013969958,312,3.49E-05,312,0.000254812,312,9.55E-05,312,0.000723356,312,-0.000124595,683.3200073,-0.023558702
313,0.034281101,313,0.000202919,313,0.001840182,313,0.003320966,313,0.023985334,313,-0.000123618,683.1400146,-0.023770375
314,0.019249504,314,5.02E-05,314,0.00372486,314,0.004594422,314,0.08840131,314,-0.000171167,682.960022,-0.023821382
315,0.631938696,315,9.62E-05,315,-3.99E-05,315,0.002273917,315,0.013210137,315,0.00086398,682.7800293,-0.024111819
316,9.074481964,316,0.000326331,316,6.97E-05,316,0.000363734,316,0.001305285,316,0.000172321,682.5999756,-0.02444851
317,11.99781895,317,-9.69E-05,317,7.27E-05,317,0.000150984,317,0.010787184,317,1.29E-05,682.4199829,-0.024465388
318,20.01387596,318,0.000181624,318,5.24E-05,318,0.00511983,318,0.039615676,318,0.000308253,682.2399902,-0.025038213
319,33.68631744,319,0.000161889,319,-0.000170407,319,0.008465256,319,0.038264953,319,0.00052228,682.0599976,-0.025220629
320,48.56291962,320,4.81E-06,320,0.000122192,320,0.003124489,320,0.006811049,320,0.000654766,681.8800049,-0.025387181
321,68.07445526,321,-1.38E-05,321,0.000200597,321,0.00067718,321,0.002777502,321,0.000397085,681.7000122,-0.025484979
322,80.1605072,322,0.000204605,322,5.75E-06,322,0.00069176,322,0.034153346,322,-1.40E-05,681.5200195,-0.025173655
323,85.09337616,323,0.000117458,323,9.11E-06,323,0.004749325,323,0.048153389,323,0.000885928,681.3400269,-0.026038356
324,89.15570068,324,-0.00011166,324,4.57E-05,324,0.006909252,324,0.025260838,324,0.002416147,681.1600342,-0.026310757
325,89.57661438,325,-2.86E-05,325,3.20E-05,325,0.00035418,325,0.010160995,325,-8.03E-05,680.9799805,-0.026413461
326,90.76482391,326,0.000470026,326,0.000119293,326,0.002402174,326,0.027632128,326,0.000109334,680.7999878,-0.02634801
327,92.10036469,327,-0.000164345,327,5.10E-05,327,0.017963065,327,0.019497395,327,0.000855952,680.6199951,-0.02685152
328,92.03923035,328,-7.14E-05,328,0.000147669,328,0.028349098,328,0.026984673,328,0.000680458,680.4400024,-0.026998064
329,92.45068359,329,-7.80E-05,329,0.000939821,329,0.000107517,329,0.030314747,329,0.000627606,680.2600098,-0.027089499
