date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Nov 03,2458425.9407,r,99.0,99.0,99.0,20.07,P48+ZTF,3,None,True,True,None
2018 Nov 03,2458425.9440,r,99.0,99.0,99.0,20.04,P48+ZTF,1,None,True,True,None
2018 Nov 04,2458426.8881,g,99.0,99.0,99.0,20.16,P48+ZTF,3,None,True,True,None
2018 Nov 04,2458426.9079,r,99.0,99.0,99.0,20.09,P48+ZTF,3,None,True,True,None
2018 Nov 05,2458427.9207,g,99.0,99.0,99.0,19.61,P48+ZTF,3,None,True,True,None
2018 Nov 05,2458427.9496,r,99.0,99.0,99.0,19.93,P48+ZTF,3,None,True,True,None
2018 Nov 06,2458428.7785,r,99.0,99.0,99.0,20.12,P48+ZTF,3,None,True,True,None
2018 Nov 06,2458428.7796,r,99.0,99.0,99.0,20.01,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.8008,g,99.0,99.0,99.0,20.46,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.8222,g,99.0,99.0,99.0,20.63,P48+ZTF,3,None,True,True,None
2018 Nov 07,2458429.8807,r,99.0,99.0,99.0,20.45,P48+ZTF,3,None,True,True,None
2018 Nov 07,2458429.9284,g,99.0,99.0,99.0,20.90,P48+ZTF,3,None,True,True,None
2018 Nov 08,2458430.9243,g,99.0,99.0,99.0,20.64,P48+ZTF,3,None,True,True,None
2018 Nov 08,2458430.9470,r,99.0,99.0,99.0,20.23,P48+ZTF,3,None,True,True,None
2018 Nov 09,2458431.8646,r,99.0,99.0,99.0,19.61,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.8656,r,99.0,99.0,99.0,19.55,P48+ZTF,3,None,True,True,None
2018 Nov 09,2458431.9507,g,99.0,99.0,99.0,20.13,P48+ZTF,3,None,True,True,None
2018 Nov 09,2458431.9516,g,99.0,99.0,99.0,20.25,P48+ZTF,1,None,True,True,None
2018 Nov 10,2458432.9077,r,99.0,99.0,99.0,20.13,P48+ZTF,3,None,True,True,None
2018 Nov 10,2458432.9240,g,99.0,99.0,99.0,20.35,P48+ZTF,3,None,True,True,None
