,jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fmcmc_low_3sigma,Fmcmc_low_2sigma,Fmcmc_low_1sigma,Fmcmc_high_3sigma,Fmcmc_high_2sigma,Fmcmc_high_1sigma,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid
0,2458173.9889352,b'i',2.557,6.2,25.794486,1.3958e-06,0.0,722.0,9.0,3.0,3.0,79.8327,18.2676,0.630773,74.8381,1.106,0.0,0.0,7.089300825691222,0.4085545539855957,ztf_20180224488924_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180224488924_000722_zi_c09_o_q3_diffimgpsf.fits',-43.259928077096156,30.787464242798144,-135.44118446113714,-105.0982550476065,-74.1138926989337,48.96976435516888,18.25889630979728,-12.538964213337408,-2.0810925430207607e-09,1.481083420668759e-09,2458173.988935185,2458340.657975903,7220933.0
1,2458174.0118866,b'i',2.384,6.2,25.796038,1.3439e-06,0.0,722.0,9.0,3.0,3.0,80.2647,18.2832,0.633364,74.5304,1.058,0.0,0.0,7.167699975776671,-0.05356079339981079,ztf_20180224511887_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180224511887_000722_zi_c09_o_q3_diffimgpsf.fits',-25.842556217872534,29.212910312515334,-113.31115593978109,-84.42971488221279,-55.03375705591668,63.04123506648062,32.61312986436306,3.3920635691139864,-1.24142437881254e-09,1.4033294048891912e-09,2458173.988935185,2458340.657975903,7220933.0
2,2458174.0287384,b'i',2.554,6.2,25.794422,1.3964e-06,0.0,722.0,9.0,3.0,3.0,80.5887,18.2965,0.635186,74.3136,1.034,0.0,0.0,7.2235847721099855,0.07187378406524658,ztf_20180224528727_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180224528727_000722_zi_c09_o_q3_diffimgpsf.fits',20.695485940631805,31.045400364639615,-72.43987953091334,-41.385835971693794,-10.333159159669002,113.30927608525617,82.69154058618383,51.75764156961023,9.956502985700083e-10,1.4935799154927493e-09,2458173.988935185,2458340.657975903,7220933.0
3,2458174.0511921,b'i',2.328,6.2,25.807009,1.2262e-06,0.0,722.0,9.0,3.0,3.0,81.0279,18.3173,0.637711,74.0128,1.014,0.0,0.0,6.657040341854092,0.6693397760391235,ztf_20180224551181_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180224551181_000722_zi_c09_o_q3_diffimgpsf.fits',13.595434318743228,30.676492228737647,-84.94060986145232,-49.24326959552144,-17.032895223797574,113.70455063809777,76.75862685326217,44.32008923367772,6.465311975923804e-10,1.458821306741085e-09,2458173.988935185,2458340.657975903,7220933.0
4,2458174.9886343,b'i',2.908,6.2,25.774338,1.8213e-06,0.0,722.0,9.0,3.0,3.0,94.9074,19.4478,0.738845,61.4654,1.1,0.0,0.0,6.3989876222133635,-0.025336742401123047,ztf_20180225488623_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180225488623_000722_zi_c09_o_q3_diffimgpsf.fits',-20.49199567739111,29.605298258742526,-110.75711981744792,-80.33818894403677,-50.31692491914261,68.85627758923034,38.37959116037565,8.893671598342443,-1.0042666843351597e-09,1.450889175908029e-09,2458173.988935185,2458340.657975903,7220933.0
5,2458175.0125926,b'i',2.781,6.2,25.773298,1.6812e-06,0.0,722.0,9.0,3.0,3.0,95.3471,19.4257,0.741254,61.1506,1.053,0.0,0.0,6.372170683860777,0.5169848203659058,ztf_20180225512581_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180225512581_000722_zi_c09_o_q3_diffimgpsf.fits',-26.70003623231314,30.300819792684194,-117.74188391637564,-87.69844853161548,-57.089997319544196,64.53615021621815,34.3139667070609,3.511642265824195,-1.309762797922731e-09,1.4863982267943616e-09,2458173.988935185,2458340.657975903,7220933.0
6,2458175.0289352,b'i',3.675,6.2,25.770985,2.4957e-06,0.0,722.0,9.0,3.0,3.0,95.6554,19.4122,0.742963,60.9268,1.031,0.0,0.0,6.44391166591644,0.8833998441696167,ztf_20180225528924_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180225528924_000722_zi_c09_o_q3_diffimgpsf.fits',-22.786734662731853,41.70197823388304,-148.83420821002238,-106.21910996520924,-64.56750086137275,102.42714889804964,60.54578506194995,18.836455606393336,-1.120180724488998e-09,2.0500415211791458e-09,2458173.988935185,2458340.657975903,7220933.0
7,2458175.0512384,b'i',2.743,6.2,25.79033,1.3523e-06,0.0,722.0,9.0,3.0,3.0,96.086,19.3962,0.745254,60.6261,1.013,0.0,0.0,6.05646916770935,0.5739385485649109,ztf_20180225551227_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180225551227_000722_zi_c09_o_q3_diffimgpsf.fits',5.025108614620613,29.880700889953857,-85.18444458446157,-54.38481332794338,-24.802120496215153,95.4451295968686,65.10628632674577,34.95928128369256,2.4266852656880996e-10,1.4429749113703558e-09,2458173.988935185,2458340.657975903,7220933.0
8,2458198.8931944,b'r',1.845,6.56678758278879,26.275,3.2982e-06,2.0,722.0,9.0,3.0,2.0,47.0835,11.6826,0.16385,132.245,1.19,0.0,0.0,5.635755831551552,-0.695834219455719,ztf_20180321393183_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180321393183_000722_zr_c09_o_q3_diffimgpsf.fits',-0.24805378110961085,18.862326081150492,-56.544696550781154,-38.10138811630009,-19.131920754914134,56.75687094465367,37.595890207919666,18.592731407386847,-7.665594667807568e-12,5.829016013516141e-10,2458155.058738426,2458218.9608101854,7220932.0
9,2458198.8990741,b'r',1.832,6.62831014441133,26.275,3.1363e-06,2.0,722.0,9.0,3.0,2.0,47.1897,11.7024,0.164393,132.161,1.169,0.0,0.0,5.768027092337608,-0.37486815452575684,ztf_20180321399074_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180321399074_000722_zr_c09_o_q3_diffimgpsf.fits',-17.324616395089944,19.18456238022223,-74.67051627777057,-55.57167137550297,-36.44028494260976,40.51451335785717,21.123147595904456,1.9288398178346984,-5.353818291579654e-10,5.928596549857455e-10,2458155.058738426,2458218.9608101854,7220932.0
10,2458198.9336806,b'r',1.655,6.64798376908659,26.275,3.8141e-06,2.0,722.0,9.0,3.0,2.0,47.822,11.8221,0.167208,131.727,1.077,0.0,0.0,5.354281436347961,0.32270967960357666,ztf_20180321433646_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180321433646_000722_zr_c09_o_q3_diffimgpsf.fits',10.312453952994465,17.72482932891086,-43.40309739298683,-24.99237695159728,-7.4226567846622356,63.89316911236995,45.70772973660468,28.027001873159485,3.1868529348945533e-10,5.47749591173306e-10,2458155.058738426,2458218.9608101854,7220932.0
