date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Jul 20,2458319.6777,g,99.0,99.0,99.0,20.00,P48+ZTF,1,None,True,True,0.566666662693024
2018 Jul 20,2458319.7448,r,99.0,99.0,99.0,20.15,P48+ZTF,1,None,True,True,0.566666662693024
2018 Jul 21,2458320.6945,g,99.0,99.0,99.0,19.86,P48+ZTF,2,None,True,True,None
2018 Jul 21,2458320.7585,r,99.0,99.0,99.0,20.39,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 21,2458320.7770,r,99.0,99.0,99.0,20.23,P48+ZTF,2,None,True,True,None
2018 Jul 21,2458320.8520,r,99.0,99.0,99.0,20.40,P48+ZTF,2,None,True,True,None
2018 Jul 22,2458321.6853,g,99.0,99.0,99.0,19.41,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 22,2458321.7021,g,99.0,99.0,99.0,19.67,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 22,2458321.7235,r,99.0,99.0,99.0,20.27,P48+ZTF,2,None,True,True,None
2018 Jul 22,2458321.7358,r,99.0,99.0,99.0,20.31,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 22,2458321.7636,r,99.0,99.0,99.0,20.20,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 22,2458321.8915,g,99.0,99.0,99.0,20.31,P48+ZTF,2,None,True,True,None
2018 Jul 23,2458322.6789,g,99.0,99.0,99.0,19.82,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 23,2458322.6804,g,99.0,99.0,99.0,19.97,P48+ZTF,1,None,True,True,0.566666662693024
2018 Jul 23,2458322.7070,g,99.0,99.0,99.0,19.69,P48+ZTF,2,None,True,True,None
2018 Jul 23,2458322.7281,g,99.0,99.0,99.0,20.15,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 23,2458322.7335,r,99.0,99.0,99.0,20.26,P48+ZTF,2,None,True,True,None
2018 Jul 23,2458322.7344,r,99.0,99.0,99.0,20.26,P48+ZTF,1,None,True,True,None
2018 Jul 23,2458322.7551,r,99.0,99.0,99.0,20.22,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 23,2458322.7893,r,99.0,99.0,99.0,20.12,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 24,2458323.7295,r,99.0,99.0,99.0,20.18,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 24,2458323.7443,r,99.0,99.0,99.0,20.10,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 24,2458323.7857,g,99.0,99.0,99.0,19.71,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 24,2458323.8619,g,99.0,99.0,99.0,19.53,P48+ZTF,2,None,True,True,None
2018 Jul 24,2458323.8862,g,99.0,99.0,99.0,19.44,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 25,2458324.6780,r,99.0,99.0,99.0,18.91,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 25,2458324.7040,r,99.0,99.0,99.0,18.63,P48+ZTF,2,None,True,True,None
2018 Jul 25,2458324.7143,r,99.0,99.0,99.0,18.90,P48+ZTF,2,None,True,True,0.566666662693024
2018 Jul 25,2458324.7570,g,99.0,99.0,99.0,19.61,P48+ZTF,2,None,True,True,None
2018 Jul 25,2458324.7896,g,99.0,99.0,99.0,19.54,P48+ZTF,2,None,True,True,None
