mjd,Fratio,Fratio_unc,instrument,wave,Fratio0,Fratio0_abs,Fratio0_unc,freq,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date,Fratio0_max,Fratio0_min
58591.29476850014,-2.0545528559976588e-08,8.1590919491501e-09,P48+ZTF,7883.058236798149,-8.361706542526949e-08,-471421.07712118776,187941.34486758983,380299686992755.6,-1.711729931027033e-14,6.824150232142187e-15,-6.509703569857118,2.595222197275214,-0.0008257840262386741,0.00032921514966878035,-9.880466094647228e+36,3.939043406982117e+36,2019-04-18T07:04:27.998412251,2019 04 18,-1.1876523230001167e-07,-4.939731239806619e-08
58592.19662614982,2.853820967573741e-09,2.116590047672713e-09,P48+ZTF,4813.966872932173,4.2194965372142675e-08,237889.19072511938,177160.772158348,622755548414061.5,8.637756515229084e-15,6.432707637069616e-15,5.379210795708621,4.006004372310611,0.0011174174932433965,0.0008321628457469142,1.3369846478921887e+37,9.956788362785683e+36,2019-04-19T04:43:08.499344140,2019 04 19,8.274068506661228e-08,1.5366427753857226e-08
58592.25703700003,3.492949752519078e-09,2.0758492632161035e-09,P48+ZTF,6421.811631761602,2.3770785210898167e-08,134016.2933385066,79904.21086671804,466834711434477.7,4.866131611121175e-15,2.901321896570532e-15,2.2716791464799435,1.354437770364036,0.00035374428225899034,0.00021091209895742345,4.2325332968175834e+36,2.5235531040623404e+36,2019-04-19T06:10:07.996802777,2019 04 19,3.8393378046536705e-08,1.1580420559980617e-08
58593.279305600096,-2.670102313963269e-10,2.153083627799003e-09,P48+ZTF,6421.811631761602,-1.8171011063233549e-09,-10244.556615618601,82610.23130243702,466834711434477.7,-3.7197985071311143e-16,2.9995774985914882e-15,-0.17365310626709546,1.4003068959803098,-2.7041139825438904e-05,0.0002180548070040765,-3.2354593539769187e+35,2.6090152617652092e+36,2019-04-20T06:42:12.003848255,2019 04 20,-2.9348904171607983e-09,-8.852376909107334e-10
58594.22851849999,-5.808814806067732e-10,1.5256187455569953e-09,P48+ZTF,4813.966872932173,-8.588581497584231e-09,-48421.196318505135,127214.5279506078,622755548414061.5,-1.7581736383249216e-15,4.619159509886569e-15,-1.0949123883421823,2.876607213791438,-0.00022744493621229978,0.0005975544264681042,-2.721367705404499e+36,7.149709927566489e+36,2019-04-21T05:29:03.998399377,2019 04 21,-1.6841466999513368e-08,-3.1277621850561843e-09
58594.30947920028,1.0897908514470587e-09,2.8183907835333524e-09,P48+ZTF,7883.058236798149,4.435277129001381e-09,25005.459242688576,64674.467312873625,380299686992755.6,9.079482251020222e-16,2.3483299081304415e-15,0.3452924258119271,0.8930691290177335,4.3801836221391925e-05,0.0001132896779639256,5.240868603865048e+35,1.355505539498709e+36,2019-04-21T07:25:39.002904296,2019 04 21,6.2996317302184275e-09,2.620168129543913e-09
58596.228275500005,-7.398048711203273e-10,6.761006301501521e-10,P48+ZTF,4813.966872932173,-1.0938331897394358e-08,-61668.75360613117,56511.28313299638,622755548414061.5,-2.239192443438623e-15,2.0519246905590984e-15,-1.394469518118242,1.2778474859734847,-0.00028967160658271724,0.0002654458411748795,-3.4659068188312304e+36,3.1760467027191804e+36,2019-04-23T05:28:43.003200442,2019 04 23,-2.144912471652131e-08,-3.983486782524812e-09
58596.253703700146,3.3243423702784325e-10,9.325045538518518e-10,P48+ZTF,6421.811631761602,2.2623351050036357e-09,12754.722335514827,35783.23891135701,466834711434477.7,4.631239680025433e-16,1.299289404871373e-15,0.2162023439608576,0.6065533943930017,3.366687725493903e-05,9.445206885126506e-05,4.0282256456960304e+35,1.1301144539026004e+36,2019-04-23T06:05:19.999692589,2019 04 23,3.654010003612918e-09,1.1021424715721497e-09
58596.35855320003,2.7869531778824394e-09,1.486045456690668e-09,P48+ZTF,7883.058236798149,1.1342460503358507e-08,63947.17299038199,34171.3514084989,380299686992755.6,2.32192185128077e-15,1.240761769642595e-15,0.8830261532637165,0.47186131262765646,0.0001120156830938717,5.9857646417605525e-05,1.3402622522488247e+36,7.16193855950898e+35,2019-04-23T08:36:18.996482491,2019 04 23,1.6110227615426256e-08,6.700630571015062e-09
58597.2728587999,1.2706313238296215e-09,1.0259500659102814e-09,P48+ZTF,4813.966872932173,1.8786828367629663e-08,105917.45620006393,85818.20172723368,622755548414061.5,3.8458628346243216e-15,3.116058904715855e-15,2.3950324187017267,1.940542972096842,0.0004975174283330537,0.00040310683960208954,5.952772063818108e+36,4.823153917556746e+36,2019-04-24T06:32:55.000311434,2019 04 24,3.683934885731152e-08,6.841727165532618e-09
58597.289791649906,-2.2704878737947195e-09,7.735104843498566e-10,P48+ZTF,6421.811631761602,-1.5451490400913907e-08,-87113.29691947332,29970.21211758229,466834711434477.7,-3.1630838111460763e-15,1.088218401989413e-15,-1.4766373182194463,0.5080181236704161,-0.00022994092678087195,7.910822565361651e-05,-2.751232112321725e+36,9.465261091794825e+35,2019-04-24T06:57:17.998551875,2019 04 24,-2.4956471024471708e-08,-7.527507212468965e-09
58598.25379629992,7.547812921222061e-10,7.203322155094084e-10,P48+ZTF,4813.966872932173,1.1159764696702075e-08,62917.16011536101,60194.8451860874,622755548414061.5,2.2845220837887584e-15,2.1856748287068335e-15,1.4226988031539027,1.361141126606134,0.0002955356446579245,0.0002827483367738812,3.536069751921268e+36,3.383070229073162e+36,2019-04-25T06:05:28.000313044,2019 04 25,2.1883335323150556e-08,4.064127472305844e-09
