date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2019 Mar 30,2458572.8165,g,99.0,99.0,99.0,20.33,P48+ZTF,3,None,True,True,None
2019 Mar 30,2458572.8174,g,99.0,99.0,99.0,20.37,P48+ZTF,1,None,True,True,None
2019 Mar 31,2458573.7744,r,99.0,99.0,99.0,20.31,P48+ZTF,3,None,True,True,None
2019 Mar 31,2458573.7982,g,99.0,99.0,99.0,20.31,P48+ZTF,3,None,True,True,None
2019 Mar 31,2458573.8539,i,99.0,99.0,99.0,19.14,P48+ZTF,2,None,True,True,None
2019 Apr 01,2458574.8368,g,99.0,99.0,99.0,18.71,P48+ZTF,3,None,True,True,None
2019 Apr 02,2458575.7916,g,99.0,99.0,99.0,19.57,P48+ZTF,1,None,True,True,None
2019 Apr 02,2458575.7944,g,99.0,99.0,99.0,20.32,P48+ZTF,3,None,True,True,None
2019 Apr 02,2458575.8704,r,99.0,99.0,99.0,18.15,P48+ZTF,3,None,True,True,None
2019 Apr 02,2458575.8713,r,99.0,99.0,99.0,18.87,P48+ZTF,1,None,True,True,None
2019 Apr 07,2458580.7553,g,99.0,99.0,99.0,20.68,P48+ZTF,1,None,True,True,None
2019 Apr 07,2458580.7562,g,99.0,99.0,99.0,20.63,P48+ZTF,3,None,True,True,None
2019 Apr 07,2458580.7783,r,99.0,99.0,99.0,20.53,P48+ZTF,3,None,True,True,None
2019 Apr 07,2458580.7792,r,99.0,99.0,99.0,20.63,P48+ZTF,1,None,True,True,None
2019 Apr 07,2458580.8475,r,99.0,99.0,99.0,20.41,P48+ZTF,1,None,True,True,None
2019 Apr 08,2458581.7547,r,99.0,99.0,99.0,20.52,P48+ZTF,3,None,True,True,None
2019 Apr 08,2458581.7755,i,99.0,99.0,99.0,19.75,P48+ZTF,2,None,True,True,None
2019 Apr 08,2458581.7973,g,99.0,99.0,99.0,20.75,P48+ZTF,3,None,True,True,None
2019 Apr 09,2458582.7512,r,99.0,99.0,99.0,20.50,P48+ZTF,3,None,True,True,None
2019 Apr 09,2458582.7644,r,99.0,99.0,99.0,20.51,P48+ZTF,1,None,True,True,None
2019 Apr 09,2458582.8310,g,99.0,99.0,99.0,20.86,P48+ZTF,3,None,True,True,None
2019 Apr 10,2458583.7749,r,99.0,99.0,99.0,19.97,P48+ZTF,3,None,True,True,None
2019 Apr 10,2458583.7758,r,99.0,99.0,99.0,20.06,P48+ZTF,1,None,True,True,None
2019 Apr 11,2458584.8160,r,99.0,99.0,99.0,20.27,P48+ZTF,3,None,True,True,None
2019 Apr 12,2458585.7329,i,99.0,99.0,99.0,19.79,P48+ZTF,2,None,True,True,None
2019 Apr 12,2458585.8106,r,99.0,99.0,99.0,20.32,P48+ZTF,3,None,True,True,None
2019 Apr 13,2458586.7321,r,99.0,99.0,99.0,20.23,P48+ZTF,3,None,True,True,None
2019 Apr 13,2458586.7502,r,99.0,99.0,99.0,20.23,P48+ZTF,1,None,True,True,None
2019 Apr 13,2458586.7551,g,99.0,99.0,99.0,20.30,P48+ZTF,3,None,True,True,None
2019 Apr 14,2458587.7329,g,99.0,99.0,99.0,19.94,P48+ZTF,3,None,True,True,None
2019 Apr 14,2458587.7750,r,99.0,99.0,99.0,19.93,P48+ZTF,3,None,True,True,None
2019 Apr 15,2458588.7740,g,99.0,99.0,99.0,17.82,P48+ZTF,3,None,True,True,None
2019 Apr 15,2458588.8399,r,99.0,99.0,99.0,19.11,P48+ZTF,3,None,True,True,None
2019 Apr 16,2458589.7723,r,99.0,99.0,99.0,18.45,P48+ZTF,3,None,True,True,None
2019 Apr 16,2458589.7733,r,99.0,99.0,99.0,18.48,P48+ZTF,1,None,True,True,None
2019 Apr 18,2458591.7947,i,99.0,99.0,99.0,17.65,P48+ZTF,2,None,True,True,None
2019 Apr 19,2458592.6906,g,99.0,99.0,99.0,18.83,P48+ZTF,3,None,True,True,None
2019 Apr 19,2458592.7026,g,99.0,99.0,99.0,18.98,P48+ZTF,1,None,True,True,None
2019 Apr 19,2458592.7565,r,99.0,99.0,99.0,19.12,P48+ZTF,3,None,True,True,None
2019 Apr 19,2458592.7574,r,99.0,99.0,99.0,19.09,P48+ZTF,1,None,True,True,None
2019 Apr 20,2458593.7793,r,99.0,99.0,99.0,19.42,P48+ZTF,1,None,True,True,None
2019 Apr 21,2458594.7285,g,99.0,99.0,99.0,19.64,P48+ZTF,3,None,True,True,None
2019 Apr 21,2458594.8094,i,99.0,99.0,99.0,18.93,P48+ZTF,2,None,True,True,None
2019 Apr 23,2458596.7278,g,99.0,99.0,99.0,20.51,P48+ZTF,1,None,True,True,None
2019 Apr 23,2458596.7287,g,99.0,99.0,99.0,20.50,P48+ZTF,3,None,True,True,None
2019 Apr 23,2458596.7532,r,99.0,99.0,99.0,20.29,P48+ZTF,3,None,True,True,None
2019 Apr 23,2458596.7541,r,99.0,99.0,99.0,20.27,P48+ZTF,1,None,True,True,None
2019 Apr 23,2458596.8585,i,99.0,99.0,99.0,19.57,P48+ZTF,2,None,True,True,None
2019 Apr 24,2458597.7473,r,99.0,99.0,99.0,20.67,P48+ZTF,1,None,True,True,None
2019 Apr 24,2458597.7728,g,99.0,99.0,99.0,20.55,P48+ZTF,3,None,True,True,None
2019 Apr 24,2458597.8322,r,99.0,99.0,99.0,20.25,P48+ZTF,3,None,True,True,None
2019 Apr 25,2458598.7537,g,99.0,99.0,99.0,20.88,P48+ZTF,3,None,True,True,None
2019 Apr 25,2458598.7992,r,99.0,99.0,99.0,20.64,P48+ZTF,3,None,True,True,None
2019 Apr 27,2458600.7121,g,99.0,99.0,99.0,20.61,P48+ZTF,3,None,True,True,None
2019 Apr 27,2458600.7131,g,99.0,99.0,99.0,20.48,P48+ZTF,1,None,True,True,None
2019 Apr 28,2458601.7366,g,99.0,99.0,99.0,20.83,P48+ZTF,3,None,True,True,None
2019 Apr 28,2458601.7849,r,99.0,99.0,99.0,20.67,P48+ZTF,3,None,True,True,None
2019 Apr 29,2458602.7847,r,-14.11,17.80,0.06,20.32,P48+ZTF,3,None,True,True,0.804285705089569
2019 May 01,2458605.1066,UVW1,-13.03,18.88,0.10,21.41,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 01,2458605.1071,u,-14.21,17.70,0.08,20.64,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 01,2458605.1075,B,-15.35,16.56,0.06,19.87,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 01,2458605.1084,UVW2,-11.92,19.99,0.13,22.13,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 01,2458605.1092,V,-16.02,15.89,0.07,18.98,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 01,2458605.1105,UVM2,-11.75,20.16,0.12,22.29,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 02,2458605.7073,i,-16.42,15.48,0.02,19.90,P48+ZTF,2,None,True,True,0.349999994039536
2019 May 03,2458606.5342,UVW1,-12.79,19.12,0.10,21.47,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 03,2458606.5354,u,-14.01,17.90,0.08,20.71,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 03,2458606.5360,B,-15.21,16.70,0.06,19.94,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 03,2458606.5377,UVW2,-11.74,20.17,0.16,21.74,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 03,2458606.5629,V,-16.12,15.79,0.09,18.48,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
2019 May 03,2458606.5653,UVM2,-11.52,20.39,0.19,21.59,Swift+UVOT,None,"UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 5''",False,True,None
