MJD	Rest Frame Phase	Filter	Magnitude	Instrument	
57655.46	-35.50	g	>20.42	P48	
57662.97	-28.11	g	>21.30	P48	
57668.97	-22.21	g	>20.84	P48	
57681.36	-10.03	g	18.57 +or- 0.08	P48	
57682.37	-9.04	g	18.95 +or- 0.09	P48	
57683.22	-8.20	g	19.27 +or- 0.12	P48	
57684.36	-7.08	g	19.33 +or- 0.17	P48	
57687.10	-4.39	g	19.42 +or- 0.02	P60	
57688.40	-3.11	g	19.46 +or- 0.04	P60	
57694.37	2.76	g	19.74 +or- 0.16	P48	
57695.15	3.53	g	19.82 +or- 0.05	P60	
57696.33	4.69	g	19.98 +or- 0.15	P48	
57697.36	5.70	g	20.10 +or- 0.16	P48	
57698.21	6.54	g	20.43 +or- 0.20	P48	
57699.08	7.39	g	>19.79	P60	
57699.31	7.62	g	20.51 +or- 0.16	P48	
57700.25	8.54	g	20.70 +or- 0.07	P60	
57700.35	8.64	g	20.61 +or- 0.28	P48	
57701.19	9.47	g	20.86 +or- 0.15	P60	
57701.19	9.47	g	>20.05	P48	
57702.18	10.44	g	>20.89	P60	
57704.22	12.45	g	>20.99	P60	
57706.10	14.30	g	>20.49	P60	
57709.30	17.44	g	>19.69	P60	
57710.09	18.22	g	>20.89	P60	
57717.16	25.17	g	>20.20	P48	
57722.16	30.09	g	>21.29	P60	
57723.16	31.07	g	>21.00	P48	
57728.23	36.06	g	>21.59	P60	
57734.17	41.90	g	>19.29	P60	
57655.50	-35.46	r	>20.23	P48	
57663.01	-28.07	r	>21.09	P48	
57669.01	-22.17	r	>20.63	P48	
57681.32	-10.07	r	18.81 +or- 0.10	P48	
57682.33	-9.08	r	18.94 +or- 0.09	P48	
57683.26	-8.16	r	19.18 +or- 0.12	P48	
57687.09	-4.40	r	18.99 +or- 0.02	P60	
57687.32	-4.17	r	18.98 +or- 0.11	P48	
57688.39	-3.12	r	18.85 +or- 0.03	P60	
57694.33	2.72	r	18.76 +or- 0.06	P48	
57695.27	3.65	r	18.80 +or- 0.07	P48	
57696.30	4.66	r	18.86 +or- 0.08	P48	
57698.25	6.58	r	19.11 +or- 0.07	P48	
57699.08	7.39	r	19.26 +or- 0.11	P60	
57699.28	7.59	r	19.24 +or- 0.09	P48	
57700.25	8.54	r	19.40 +or- 0.03	P60	
57700.26	8.55	r	19.38 +or- 0.03	P60	
57700.30	8.59	r	19.44 +or- 0.12	P48	
57701.18	9.46	r	19.42 +or- 0.04	P60	
57701.23	9.51	r	19.46 +or- 0.13	P48	
57704.21	12.44	r	20.05 +or- 0.10	P60	
57706.10	14.30	r	20.17 +or- 0.19	P60	
57709.29	17.43	r	>19.96	P60	
57710.09	18.22	r	20.46 +or- 0.22	P60	
57711.13	19.24	r	20.61 +or- 0.08	P60	
57717.20	25.21	r	>20.90	P48	
57722.16	30.09	r	>21.06	P60	
57723.20	31.11	r	>21.03	P48	
57726.17	34.03	r	20.84 +or- 0.31	P48	
57728.23	36.06	r	21.57 +or- 0.27	P60	
57734.17	41.90	r	>18.96	P60	
57687.10	-4.39	i	18.79 +or- 0.03	P60	
57688.40	-3.11	i	18.63 +or- 0.03	P60	
57695.15	3.53	i	18.48 +or- 0.03	P60	
57699.08	7.39	i	18.94 +or- 0.11	P60	
57700.25	8.54	i	18.90 +or- 0.03	P60	
57700.26	8.55	i	18.92 +or- 0.03	P60	
57701.18	9.46	i	18.95 +or- 0.04	P60	
57702.17	10.43	i	19.08 +or- 0.05	P60	
57704.21	12.44	i	19.61 +or- 0.08	P60	
57706.10	14.30	i	19.64 +or- 0.10	P60	
57709.30	17.44	i	>19.69	P60	
57710.09	18.22	i	20.11 +or- 0.15	P60	
57711.13	19.24	i	20.22 +or- 0.07	P60	
57722.16	30.09	i	20.76 +or- 0.20	P60	
57728.23	36.06	i	20.87 +or- 0.15	P60	
57734.17	41.90	i	>18.39	P60	
