filter,mag,emag,limmag,instrument,mjd
g,18.59,0.01,21.55,LT+IOO,58582.1544
r,18.84,0.02,22.14,LT+IOO,58582.1552
i,19.11,0.02,21.62,LT+IOO,58582.1575
z,19.28,0.07,21.03,LT+IOO,58582.1583
g,18.48,0.02,21.57,LT+IOO,58583.1637
r,18.63,0.01,22.71,LT+IOO,58583.1645
g,18.58,0.01,21.77,LT+IOO,58584.2324
r,18.68,0.02,21.98,LT+IOO,58584.2332
i,18.85,0.02,22.26,LT+IOO,58584.2355
z,19.15,0.07,22.26,LT+IOO,58584.2363
g,19.47,0.14,20.56,LT+IOO,58590.0252
r,19.16,0.04,21.29,LT+IOO,58590.026
i,19.24,0.07,21.23,LT+IOO,58590.0268
z,19.28,0.21,19.26,LT+IOO,58590.0277
g,19.44,0.07,20.38,LT+IOO,58591.0676
r,19.31,0.09,20.2,LT+IOO,58591.0685
i,19.22,0.06,20.71,LT+IOO,58591.0693
z,19.1,0.12,20.36,LT+IOO,58591.0701
g,19.4,0.13,19.78,LT+IOO,58592.0472
r,19.26,0.12,20.18,LT+IOO,58592.0472
i,19.27,0.1,20.04,LT+IOO,58592.0489
z,19.33,0.17,20.32,LT+IOO,58592.0497
r,19.41,0.06,21.43,LT+IOO,58593.1109
i,19.41,0.08,21.46,LT+IOO,58593.1117
z,19.46,0.12,19.94,LT+IOO,58593.1125
g,19.69,0.2,20.41,LT+IOO,58594.1142
r,19.5,0.08,20.95,LT+IOO,58594.115
i,19.48,0.08,21.51,LT+IOO,58594.1158
z,19.52,0.16,20.65,LT+IOO,58594.1167
g,19.82,0.1,20.76,LT+IOO,58595.0926
r,19.6,0.07,21.01,LT+IOO,58595.0935
i,19.45,0.07,21.1,LT+IOO,58595.0943
z,19.55,0.11,20.59,LT+IOO,58595.0951
g,20.1,0.11,21.49,LT+IOO,58596.138
r,19.75,0.06,21.33,LT+IOO,58596.1388
i,19.66,0.08,21.04,LT+IOO,58596.1396
z,19.71,0.16,21.26,LT+IOO,58596.1405
g,20.12,0.07,21.76,LT+IOO,58597.1508
r,19.77,0.05,22.05,LT+IOO,58597.1516
i,19.69,0.07,21.18,LT+IOO,58597.1539
z,19.95,0.15,20.69,LT+IOO,58597.1547
g,20.37,0.17,21.66,LT+IOO,58598.1207
r,19.89,0.06,21.45,LT+IOO,58598.1218
i,19.73,0.08,20.62,LT+IOO,58598.1247
z,20.13,0.3,20.77,LT+IOO,58598.1257
g,20.42,0.08,21.62,LT+IOO,58599.1894
z,20.17,0.12,20.81,LT+IOO,58599.1918
i,20.38,0.1,21.63,LT+IOO,58601.1606
i,20.37,0.09,99,P60+SEDM,58605.3688
r,21.22,0.11,22.38,LT+IOO,58607.0861
i,20.88,0.1,21.96,LT+IOO,58607.089
z,20.72,0.16,20.51,LT+IOO,58607.09
g,21.86,0.19,23.14,LT+IOO,58610.1965
r,21.36,0.21,22.44,LT+IOO,58610.1974
i,21.28,0.19,21.41,LT+IOO,58610.1982
z,20.92,0.42,20.09,LT+IOO,58610.199
g,21.77,0.23,22.09,LT+IOO,58611.1743
r,21.52,0.19,22.48,LT+IOO,58611.1751
i,21.1,0.12,21.91,LT+IOO,58611.1759
z,20.72,0.21,20.68,LT+IOO,58611.1767
r,21.21,0.23,99,P60+SEDM,58628.2843
