date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2014 May 27,2456804.9374,r,-13.80,20.97,0.15,21.25,P48+iPTF,1,None,True,True,0.327
2014 Jun 07,2456815.9641,r,-13.76,21.02,0.18,21.11,P48+iPTF,1,None,True,True,0.414
2018 Jun 07,2458276.9302,r,99.0,99.0,99.0,20.67,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 07,2458276.9302,r,99.0,99.0,99.0,20.67,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 08,2458277.7873,r,99.0,99.0,99.0,20.68,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 08,2458277.7873,r,99.0,99.0,99.0,20.68,P48+ZTF,2,None,True,True,None
2018 Jun 08,2458277.8213,g,99.0,99.0,99.0,20.89,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 08,2458277.8213,g,99.0,99.0,99.0,20.89,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 08,2458277.8486,g,99.0,99.0,99.0,20.91,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 08,2458277.8486,g,99.0,99.0,99.0,20.91,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 08,2458277.8649,g,99.0,99.0,99.0,20.92,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 08,2458277.8649,g,99.0,99.0,99.0,20.92,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 08,2458277.8872,r,99.0,99.0,99.0,20.70,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 08,2458277.8872,r,99.0,99.0,99.0,20.70,P48+ZTF,2,None,True,True,None
2018 Jun 08,2458277.9064,r,99.0,99.0,99.0,20.65,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 08,2458277.9064,r,99.0,99.0,99.0,20.65,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 09,2458278.7798,r,99.0,99.0,99.0,20.49,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 09,2458278.7798,r,99.0,99.0,99.0,20.49,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 09,2458278.8026,r,99.0,99.0,99.0,20.64,P48+ZTF,1,None,True,False,0.58666664362
2018 Jun 09,2458278.8026,r,99.0,99.0,99.0,20.64,P48+ZTF,1,None,True,True,0.708571434021
2018 Jun 09,2458278.8035,r,99.0,99.0,99.0,20.65,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 09,2458278.8035,r,99.0,99.0,99.0,20.65,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 09,2458278.8227,r,99.0,99.0,99.0,20.67,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 09,2458278.8227,r,99.0,99.0,99.0,20.67,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 09,2458278.8543,g,99.0,99.0,99.0,21.01,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 09,2458278.8543,g,99.0,99.0,99.0,21.01,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 09,2458278.8681,g,99.0,99.0,99.0,20.99,P48+ZTF,1,None,True,False,0.58666664362
2018 Jun 09,2458278.8681,g,99.0,99.0,99.0,20.99,P48+ZTF,1,None,True,True,0.708571434021
2018 Jun 09,2458278.8690,g,99.0,99.0,99.0,20.98,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 09,2458278.8690,g,99.0,99.0,99.0,20.98,P48+ZTF,2,None,True,True,None
2018 Jun 09,2458278.8894,g,99.0,99.0,99.0,20.96,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 09,2458278.8894,g,99.0,99.0,99.0,20.96,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 10,2458279.7830,r,99.0,99.0,99.0,20.60,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 10,2458279.7830,r,99.0,99.0,99.0,20.60,P48+ZTF,2,None,True,True,None
2018 Jun 10,2458279.8285,g,99.0,99.0,99.0,20.87,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 10,2458279.8285,g,99.0,99.0,99.0,20.87,P48+ZTF,2,None,True,True,None
2018 Jun 10,2458279.8478,g,99.0,99.0,99.0,20.95,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 10,2458279.8478,g,99.0,99.0,99.0,20.95,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 10,2458279.8639,g,99.0,99.0,99.0,20.83,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 10,2458279.8639,g,99.0,99.0,99.0,20.83,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 10,2458279.8889,r,99.0,99.0,99.0,20.35,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 10,2458279.8889,r,99.0,99.0,99.0,20.35,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 10,2458279.9150,r,99.0,99.0,99.0,20.41,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 10,2458279.9150,r,99.0,99.0,99.0,20.41,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 11,2458280.7673,g,99.0,99.0,99.0,20.97,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 11,2458280.7673,g,99.0,99.0,99.0,20.97,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 11,2458280.7847,g,99.0,99.0,99.0,20.96,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 11,2458280.7847,g,99.0,99.0,99.0,20.96,P48+ZTF,2,None,True,True,None
2018 Jun 11,2458280.8079,r,99.0,99.0,99.0,20.72,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 11,2458280.8079,r,99.0,99.0,99.0,20.72,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 11,2458280.8262,r,99.0,99.0,99.0,20.69,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 11,2458280.8262,r,99.0,99.0,99.0,20.69,P48+ZTF,2,None,True,True,0.708571434021
2018 Jun 11,2458280.8431,r,99.0,99.0,99.0,20.70,P48+ZTF,2,None,True,False,0.58666664362
2018 Jun 11,2458280.8431,r,99.0,99.0,99.0,20.70,P48+ZTF,2,None,True,True,0.708571434021
