mjd	instrument	filter	mag	emag	wave
58580.4421	P48+ZTF	g	20.828	0.148	4813.97
58581.4807	P48+ZTF	g	18.813	0.033	4813.97
58582.4396	P48+ZTF	g	18.505	0.019	4813.97
58583.4082	P48+ZTF	g	18.516	0.037	4813.97
58584.4691	P48+ZTF	g	18.653	0.016	4813.97
58586.448	P48+ZTF	g	19.037	0.025	4813.97
58587.4658	P48+ZTF	g	19.178	0.031	4813.97
58588.4794	P48+ZTF	g	19.392	0.039	4813.97
58591.374	P48+ZTF	g	19.678	0.148	4813.97
58592.4784	P48+ZTF	g	19.5	0.104	4813.97
58593.4841	P48+ZTF	g	19.776	0.17	4813.97
58596.4781	P48+ZTF	g	20.111	0.081	4813.97
58597.4728	P48+ZTF	g	20.528	0.181	4813.97
58599.2766	P48+ZTF	g	20.466	0.077	4813.97
58612.4016	P48+ZTF	g	21.783	0.217	4813.97
58616.4688	P48+ZTF	g	21.662	0.156	4813.97
58580.4842	P48+ZTF	r	20.891	0.139	6421.81
58581.4308	P48+ZTF	r	19.187	0.05	6421.81
58582.4516	P48+ZTF	r	18.761	0.02	6421.81
58584.4009	P48+ZTF	r	18.695	0.024	6421.81
58585.4191	P48+ZTF	r	18.753	0.026	6421.81
58586.4101	P48+ZTF	r	18.918	0.027	6421.81
58587.4222	P48+ZTF	r	19.021	0.054	6421.81
58588.43	P48+ZTF	r	19.099	0.031	6421.81
58589.3489	P48+ZTF	r	18.989	0.199	6421.81
58591.4525	P48+ZTF	r	19.31	0.052	6421.81
58592.388	P48+ZTF	r	19.464	0.13	6421.81
58593.4315	P48+ZTF	r	19.437	0.058	6421.81
58596.3929	P48+ZTF	r	19.68	0.051	6421.81
58597.405	P48+ZTF	r	19.845	0.057	6421.81
58598.361	P48+ZTF	r	19.962	0.092	6421.81
58599.4846	P48+ZTF	r	19.966	0.059	6421.81
58600.4715	P48+ZTF	r	20.081	0.101	6421.81
58605.4333	P48+ZTF	r	20.73	0.079	6421.81
58607.3705	P48+ZTF	r	20.692	0.087	6421.81
58608.4033	P48+ZTF	r	20.639	0.128	6421.81
58612.4549	P48+ZTF	r	21.226	0.111	6421.81
58616.4117	P48+ZTF	r	20.941	0.088	6421.81
58617.338	P48+ZTF	r	21.017	0.171	6421.81
58627.3911	P48+ZTF	r	21.581	0.214	6421.81
58635.3518	P48+ZTF	r	21.946	0.193	6421.81
58581.5163	P48+ZTF	i	19.437	0.171	7883.06
58586.5159	P48+ZTF	i	18.977	0.082	7883.06
58596.3822	P48+ZTF	i	19.662	0.16	7883.06
58637.8263	P48+ZTF	r	22.272	0.16	6421.81
58642.3119	P48+ZTF	r	22.395	0.171	6421.81
58582.1544	LT+IOO	g	18.59	0.01	4795.5
58582.1552	LT+IOO	r	18.84	0.02	6187.58
58582.1575	LT+IOO	i	19.11	0.02	7658.73
58582.1583	LT+IOO	z	19.28	0.07	9669.83
58583.1637	LT+IOO	g	18.48	0.02	4795.5
58583.1645	LT+IOO	r	18.63	0.01	6187.58
58584.2324	LT+IOO	g	18.58	0.01	4795.5
58584.2332	LT+IOO	r	18.68	0.02	6187.58
58584.2355	LT+IOO	i	18.85	0.02	7658.73
58584.2363	LT+IOO	z	19.15	0.07	9669.83
58590.0252	LT+IOO	g	19.47	0.14	4795.5
58590.026	LT+IOO	r	19.16	0.04	6187.58
58590.0268	LT+IOO	i	19.24	0.07	7658.73
58590.0277	LT+IOO	z	19.28	0.21	9669.83
58591.0676	LT+IOO	g	19.44	0.07	4795.5
58591.0685	LT+IOO	r	19.31	0.09	6187.58
58591.0693	LT+IOO	i	19.22	0.06	7658.73
58591.0701	LT+IOO	z	19.1	0.12	9669.83
58592.0472	LT+IOO	g	19.4	0.13	4795.5
58592.0472	LT+IOO	r	19.26	0.12	6187.58
58592.0489	LT+IOO	i	19.27	0.1	7658.73
58592.0497	LT+IOO	z	19.33	0.17	9669.83
58593.1109	LT+IOO	r	19.41	0.06	6187.58
58593.1117	LT+IOO	i	19.41	0.08	7658.73
58593.1125	LT+IOO	z	19.46	0.12	9669.83
58594.1142	LT+IOO	g	19.69	0.2	4795.5
58594.115	LT+IOO	r	19.5	0.08	6187.58
58594.1158	LT+IOO	i	19.48	0.08	7658.73
58594.1167	LT+IOO	z	19.52	0.16	9669.83
58595.0926	LT+IOO	g	19.82	0.1	4795.5
58595.0935	LT+IOO	r	19.6	0.07	6187.58
58595.0943	LT+IOO	i	19.45	0.07	7658.73
58595.0951	LT+IOO	z	19.55	0.11	9669.83
58596.138	LT+IOO	g	20.1	0.11	4795.5
58596.1388	LT+IOO	r	19.75	0.06	6187.58
58596.1396	LT+IOO	i	19.66	0.08	7658.73
58596.1405	LT+IOO	z	19.71	0.16	9669.83
58597.1508	LT+IOO	g	20.12	0.07	4795.5
58597.1516	LT+IOO	r	19.77	0.05	6187.58
58597.1539	LT+IOO	i	19.69	0.07	7658.73
58597.1547	LT+IOO	z	19.95	0.15	9669.83
58598.1207	LT+IOO	g	20.37	0.17	4795.5
58598.1218	LT+IOO	r	19.89	0.06	6187.58
58598.1247	LT+IOO	i	19.73	0.08	7658.73
58598.1257	LT+IOO	z	20.13	0.3	9669.83
58599.1894	LT+IOO	g	20.42	0.08	4795.5
58599.1918	LT+IOO	z	20.17	0.12	9669.83
58601.1606	LT+IOO	i	20.38	0.1	7658.73
58607.0861	LT+IOO	r	21.22	0.11	6187.58
58607.089	LT+IOO	i	20.88	0.1	7658.73
58607.09	LT+IOO	z	20.72	0.16	9669.83
58610.1965	LT+IOO	g	21.86	0.19	4795.5
58610.1974	LT+IOO	r	21.36	0.21	6187.58
58610.1982	LT+IOO	i	21.28	0.19	7658.73
58610.199	LT+IOO	z	20.92	0.42	9669.83
58611.1743	LT+IOO	g	21.77	0.23	4795.5
58611.1751	LT+IOO	r	21.52	0.19	6187.58
58611.1759	LT+IOO	i	21.1	0.12	7658.73
58611.1767	LT+IOO	z	20.72	0.21	9669.83
58582.156	LT+IOO	u	18.45	0.03	3479.24
58583.1654	LT+IOO	u	18.32	0.03	3479.24
58584.2341	LT+IOO	u	18.57	0.02	3479.24
58582.8289	Swift+UVOT	B	18.606	0.193	4359.06
58582.828	Swift+UVOT	U	18.289	0.113	3475.49
58582.8346	Swift+UVOT	UVM2	18.55	0.068	2255.08
58582.8261	Swift+UVOT	UVW1	18.685	0.108	2614.22
58582.8299	Swift+UVOT	UVW2	18.802	0.103	2079.03
58582.8337	Swift+UVOT	V	18.679	0.404	5430.09
58583.5775	Swift+UVOT	B	18.494	0.142	4359.06
58583.5766	Swift+UVOT	U	18.512	0.107	3475.49
58583.5833	Swift+UVOT	UVM2	18.85	0.093	2255.08
58583.5747	Swift+UVOT	UVW1	18.873	0.101	2614.22
58583.5785	Swift+UVOT	UVW2	19.219	0.098	2079.03
58583.5823	Swift+UVOT	V	18.457	0.289	5430.09
