,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
2,0.05,r,P48,19.19,58581.4308,6421.8,19.132741357745388,-1.7323019680751788,-1.7691999999951804,-15.703925237577092,466835557008938.3,1912361.9544830015,88067.52257603037,6.943786256727779e-14,3.1977317447356626e-15,32.416063249105235,1.492814880218837,0.005047815760239377,0.00023246050643415195,6.039687241014266e+37,2.781378761501157e+36,2019-04-08T10:20:21.120000165,2019 04 08
3,0.03,g,P48,18.81,58581.4807,4814.0,18.729574648487016,-1.6834426711025356,-1.7192999999970198,-16.10709194683546,622751262982966.2,2772278.001229383,76600.87199119327,1.0066141422463889e-13,2.781377662000228e-15,62.6870228420454,1.7321064518432516,0.013021816128385004,0.00035980607641114494,1.5580540269502832e+38,4.305062371842078e+36,2019-04-08T11:32:12.480000006,2019 04 08
4,0.17,i,P48,19.44,58581.5163,7883.1,19.39809195888815,-1.6485851365848747,-1.683699999994133,-15.438574636434328,380297672235541.8,1497717.3284763286,234506.26839665536,5.4382116196975496e-14,8.514922605482557e-15,20.681392200952533,3.238205246130811,0.002623510065957877,0.0004107781515052214,3.1390171560633323e+37,4.914940794938716e+36,2019-04-08T12:23:28.320000255,2019 04 08
5,0.01,g,LT+IOO,18.59,58582.1544,4795.5,18.509165092090456,-1.0237932047367555,-1.0455999999976484,-16.327501503232018,625153702429360.8,3396257.428113853,31280.68690378102,1.23318107214814e-13,1.1358017414762886e-15,77.09277130192184,0.7100506639096176,0.01607606533248292,0.00014806603355429414,1.9234934729413422e+38,1.7716029589064326e+36,2019-04-09T03:42:20.159999952,2019 04 09
6,0.02,r,LT+IOO,18.84,58582.1552,6187.6,18.78023852255557,-1.0230098893528152,-1.0447999999960302,-16.056428072766906,484505233046738.6,2645886.6138588623,48739.03259859128,9.607214294921528e-14,1.7697142736548493e-15,46.54745600890914,0.8574358265832825,0.007522699594173694,0.00013857324755693365,9.00087382641704e+37,1.658022231730252e+36,2019-04-09T03:43:29.280000092,2019 04 09
7,0.02,i,LT+IOO,19.11,58582.1575,7658.7,19.065798537730355,-1.0207578576284395,-1.0424999999959257,-15.77086805759212,391440398501051.1,2033982.551618169,37467.34322212792,7.385390644925574e-14,1.3604392323954643e-15,28.90940257135601,0.5325308752653446,0.0037747140600044404,6.953280259905003e-05,4.516427189411692e+37,8.319566335945885e+35,2019-04-09T03:46:48.000000101,2019 04 09
8,0.07,z,LT+IOO,19.28,58582.1583,9669.8,19.25091670703133,-1.0199745422444997,-1.0416999999943073,-15.585749888291144,310029636600550.2,1715141.499824804,110579.25899641722,6.227678785863864e-14,4.0151328941599086e-15,19.307649908463294,1.244810192079312,0.0019966958891045627,0.00012873174130585037,2.3890370129195396e+37,1.5402690835166752e+36,2019-04-09T03:47:57.120000240,2019 04 09
9,0.02,g,P48,18.5,58582.4396,4814.0,18.419574648487014,-0.7445412709284327,-0.7603999999992084,-16.41709194683546,622751262982966.2,3688389.514599102,67942.64570777149,1.3392542327509336e-13,2.466997465649183e-15,83.40222649009273,1.5363257875088057,0.017324932798108175,0.00031913705598438005,2.072919863604558e+38,3.8184595015256856e+36,2019-04-09T10:33:01.439999817,2019 04 09
10,0.02,r,P48,18.76,58582.4516,6421.8,18.70274135774539,-0.7327915401907016,-0.7483999999967637,-16.133925237577092,466835557008938.3,2841646.7891199393,52345.06828945574,1.0318019491294501e-13,1.9006494295901378e-15,48.1681837644755,0.8872907351414329,0.0075007293538377874,0.000138168540773838,8.974586539689188e+37,1.6531799345658668e+36,2019-04-09T10:50:18.240000028,2019 04 09
11,0.19,UVW1,Swift,18.61,58582.8261,2614.2,18.46441634511344,-0.3661020268272637,-0.3738999999986845,-16.37225025020904,1146784706602402.2,3539159.211272332,619340.3583622259,1.2850687096129837e-13,2.2488248412132422e-14,147.36971431174533,25.789179357309216,0.05637277725948485,0.009865036859195632,6.7449756434554154e+38,1.1803469080613554e+38,2019-04-09T19:49:35.039999862,2019 04 09
