,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
0,0.15,g,P48,20.83,58580.4421,4814.0,20.749574648487016,-2.700381866245843,-2.7578999999968796,-14.08709194683546,622751262982966.2,431356.9291167732,59594.16208463827,1.5662570096230038e-14,2.163864025293216e-15,9.753885308986495,1.3475490546747553,0.0020261498356847728,0.00027992294446920553,2.424278518118528e+37,3.3492645462512504e+36,2019-04-07T10:36:37.440000018,2019 04 07
1,0.14,r,P48,20.89,58580.4842,6421.8,20.832741357745387,-2.6591598942505876,-2.7157999999981257,-14.003925237577093,466835557008938.3,399549.0432293807,51519.75756816031,1.450762575965881e-14,1.870682397299901e-15,6.772675552387542,0.8733010589303153,0.0010546381937132179,0.00013599007426738847,1.261869518421962e+37,1.6271146877563116e+36,2019-04-07T11:37:14.879999910,2019 04 07
36,0.05,r,P48,19.02,58587.4222,6421.8,18.962741357745386,4.13414275923215,4.222200000003795,-15.873925237577096,466835557008938.3,2236506.141177448,102994.91402129656,8.120753798615312e-14,3.7397453281132776e-15,37.91056622909032,1.7458460933213371,0.005903417457580478,0.0002718624207109124,7.063410550316689e+37,3.2528207677712164e+36,2019-04-14T10:07:58.080000076,2019 04 14
37,0.03,g,P48,19.18,58587.4658,4814.0,19.099574648487014,4.176833447567842,4.265800000001036,-15.737091946835461,622751262982966.2,1971681.578078175,54479.57531776538,7.159175810001854e-14,1.978153379788061e-15,44.58385777595755,1.2318975156370382,0.009261291602816277,0.00025589894383818817,1.1081090789690282e+38,3.0618185359745345e+36,2019-04-14T11:10:45.119999838,2019 04 14
38,0.03,r,P48,19.1,58588.43,6421.8,19.04274135774539,5.1209243121543135,5.230000000003201,-15.793925237577092,466835557008938.3,2077639.028980748,57407.28788104433,7.543907314229097e-14,2.0844586229607194e-15,35.217641730619434,0.9730994023119519,0.0054840763852221225,0.0001515306304014376,6.561670977270964e+37,1.8130566932874954e+36,2019-04-15T10:19:12.000000025,2019 04 15
39,0.04,g,P48,19.39,58588.4794,4814.0,19.30957464848702,5.169294037011103,5.279399999999441,-15.527091946835457,622751262982966.2,1624937.9391632068,59864.926012122654,5.900149657101604e-14,2.1736954635001737e-15,36.74325650748539,1.3536715952350773,0.007632583404130742,0.0002811947642781632,9.132349275703278e+37,3.3644818089998944e+36,2019-04-15T11:30:20.159999700,2019 04 15
109,0.22,g,P48,21.78,58612.4016,4814.0,21.69957464848702,28.592578086752496,29.20160000000033,-13.137091946835456,622751262982966.2,179819.4970965661,36436.373023093045,6.529245939576315e-15,1.3230047044685085e-15,4.066096155197553,0.8239028506401697,0.0008446398328204308,0.00017114724774411498,1.010607491208447e+37,2.04776857482972e+36,2019-05-09T09:38:18.239999777,2019 05 09
110,0.11,r,P48,21.23,58612.4549,6421.8,21.172741357745387,28.644766474101537,29.25489999999991,-13.663925237577093,466835557008938.3,292125.92127340625,29596.37083045709,1.0607092201437382e-14,1.0746442248538971e-15,4.9517677961031845,0.5016821352961077,0.0007710872023580903,7.812173149212179e-05,9.226021231746964e+36,9.347227540581536e+35,2019-05-09T10:55:03.359999741,2019 05 09
111,0.09,r,P48,20.94,58616.4117,6421.8,20.882741357745388,32.51904435523336,33.21169999999984,-13.953925237577092,466835557008938.3,381566.37403601717,31629.205614352446,1.3854675041247785e-14,1.1484564558571374e-15,6.4678549400587455,0.5361403092705779,0.0010071716559311632,8.34875438771961e-05,1.2050760346194146e+37,9.989244407660548e+35,2019-05-13T09:52:50.879999734,2019 05 13
112,0.16,g,P48,21.66,58616.4688,4814.0,21.579574648487014,32.574953490654345,33.268800000005285,-13.25709194683546,622751262982966.2,200833.787541538,29595.96066321144,7.292274825633243e-15,1.0746293316812071e-15,4.541273357681993,0.6692267735430129,0.0009433471868886564,0.0001390167788830521,1.1287103648624312e+37,1.663329062681667e+36,2019-05-13T11:15:04.320000205,2019 05 13
